student_id,class_id,major,epi_len,app_len,total_len,n_entities,n_relations,n_epi_entities,n_app_entities,cross_edges,relation_entity_ratio,cross_ratio,connectivity,coverage,community_cross_ratio,relation_entity_ratio_pct,cross_ratio_pct,connectivity_pct,coverage_pct,community_cross_ratio_pct
A_김001,A,영어영문학과,141,249,390,15,11,8,7,1,0.7333,0.0909,1.0,0.1053,0.2727,38.095238095238095,19.047619047619047,73.80952380952381,54.761904761904766,47.61904761904761
A_김002,A,영어영문학과,187,353,540,14,10,6,8,2,0.7143,0.2,0.5,0.2105,0.3,16.666666666666664,73.80952380952381,4.761904761904762,100.0,57.14285714285714
A_김003,A,영어영문학과,64,310,374,11,9,4,7,1,0.8182,0.1111,1.0,0.1053,0.2222,66.66666666666666,35.714285714285715,73.80952380952381,54.761904761904766,33.33333333333333
A_김004,A,국어국문학과,175,68,243,10,9,7,3,2,0.9,0.2222,1.0,0.1316,0.4444,92.85714285714286,83.33333333333334,73.80952380952381,80.95238095238095,76.19047619047619
A_김006,A,국어국문학과,280,163,443,8,6,5,3,1,0.75,0.1667,0.7143,0.1316,0.5,45.23809523809524,64.28571428571429,28.57142857142857,80.95238095238095,80.95238095238095
A_김007,A,영어영문학과,90,89,179,7,5,4,3,1,0.7143,0.2,0.6,0.0526,0.0,16.666666666666664,73.80952380952381,11.904761904761903,7.142857142857142,7.142857142857142
A_김008,A,국어국문학과,420,206,626,13,10,8,5,1,0.7692,0.1,0.9,0.1316,0.2,52.38095238095239,26.190476190476193,42.857142857142854,80.95238095238095,26.190476190476193
A_김009,A,영어영문학과,329,206,535,14,13,9,5,3,0.9286,0.2308,0.7692,0.1579,0.3077,100.0,90.47619047619048,33.33333333333333,92.85714285714286,61.904761904761905
A_김010,A,영어영문학과,181,190,371,10,9,6,4,2,0.9,0.2222,1.0,0.1053,0.5556,92.85714285714286,83.33333333333334,73.80952380952381,54.761904761904766,85.71428571428571
A_김011,A,영어영문학과,238,244,482,16,14,7,9,1,0.875,0.0714,1.0,0.0789,0.1429,80.95238095238095,14.285714285714285,73.80952380952381,23.809523809523807,19.047619047619047
A_김012,A,영어영문학과,143,284,427,10,8,4,6,1,0.8,0.125,1.0,0.1053,0.25,61.904761904761905,45.23809523809524,73.80952380952381,54.761904761904766,40.476190476190474
A_김013,A,영어영문학과,182,192,374,8,7,4,4,2,0.875,0.2857,1.0,0.1053,0.5714,80.95238095238095,100.0,73.80952380952381,54.761904761904766,92.85714285714286
A_김014,A,국어국문학과,236,32,268,8,6,6,2,1,0.75,0.1667,0.6667,0.1053,0.3333,45.23809523809524,64.28571428571429,21.428571428571427,54.761904761904766,66.66666666666666
A_김015,A,영어영문학과,53,77,130,8,7,4,4,1,0.875,0.1429,0.6,0.0526,0.0,80.95238095238095,54.761904761904766,11.904761904761903,7.142857142857142,7.142857142857142
