student_id,class_id,major,epi_len,app_len,total_len,n_entities,n_relations,n_epi_entities,n_app_entities,cross_edges,relation_entity_ratio,cross_ratio,connectivity,coverage,community_cross_ratio
A_김001,A,영어영문학과,141,249,390,15,11,8,7,1,0.7333,0.0909,0.4667,0.0755,0.0
A_김002,A,영어영문학과,187,353,540,14,10,6,8,2,0.7143,0.2,0.5,0.0943,0.0
A_김003,A,영어영문학과,64,310,374,11,9,4,7,1,0.8182,0.1111,0.7273,0.0377,0.0
A_김004,A,국어국문학과,175,68,243,10,9,7,3,2,0.9,0.2222,1.0,0.0189,0.0
A_김006,A,국어국문학과,280,163,443,8,6,5,3,1,0.75,0.1667,0.75,0.0377,0.0
A_김007,A,영어영문학과,90,89,179,7,5,4,3,1,0.7143,0.2,0.5714,0.0377,0.0
A_김008,A,국어국문학과,420,206,626,13,10,8,5,1,0.7692,0.1,0.6923,0.0566,0.0
A_김009,A,영어영문학과,329,206,535,14,13,9,5,3,0.9286,0.2308,0.7857,0.0377,0.0
A_김010,A,영어영문학과,181,190,371,10,9,6,4,2,0.9,0.2222,1.0,0.0189,0.0
A_김011,A,영어영문학과,238,244,482,16,14,7,9,1,0.875,0.0714,0.5625,0.0377,0.0
A_김012,A,영어영문학과,143,284,427,10,8,4,6,1,0.8,0.125,0.8,0.0377,0.0
A_김013,A,영어영문학과,182,192,374,8,7,4,4,2,0.875,0.2857,0.75,0.0377,0.0
A_김014,A,국어국문학과,236,32,268,8,6,6,2,1,0.75,0.1667,0.75,0.0377,0.0
A_김015,A,영어영문학과,53,77,130,8,7,4,4,1,0.875,0.1429,0.625,0.0377,0.0
A_김016,A,국어국문학과,389,211,600,14,9,9,5,1,0.6429,0.1111,0.2143,0.0943,0.0
A_김017,A,영어영문학과,151,150,301,11,8,7,4,1,0.7273,0.125,0.5455,0.0566,0.0
A_김018,A,영어영문학과,144,161,305,11,8,5,6,0,0.7273,0.0,0.5455,0.0566,0.0
A_김019,A,영어영문학과,84,390,474,10,7,3,7,0,0.7,0.0,0.5,0.0566,0.0
A_김020,A,영어영문학과,134,91,225,12,10,8,4,1,0.8333,0.1,0.6667,0.0377,0.0
A_김021,A,영어영문학과,330,164,494,11,8,8,3,2,0.7273,0.25,0.6364,0.0566,0.0
A_김022,A,영어영문학과,72,250,322,9,7,4,5,1,0.7778,0.1429,0.6667,0.0377,0.0
B_박001,B,일어일문학과,157,176,333,12,11,7,5,1,0.9167,0.0909,0.8333,0.0741,0.0
B_박002,B,일어일문학과,70,107,177,6,5,3,3,1,0.8333,0.2,1.0,0.037,0.0
B_박003,B,일어일문학과,42,92,134,6,6,2,4,3,1.0,0.5,1.0,0.037,0.0
B_박004,B,일어일문학과,62,318,380,8,6,3,5,0,0.75,0.0,0.625,0.0741,0.0
B_박005,B,일어일문학과,153,193,346,10,8,6,4,1,0.8,0.125,0.9,0.0741,0.0
B_박006,B,일어일문학과,179,132,311,6,5,6,0,0,0.8333,0.0,1.0,0.037,0.0
